YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2008,Utah,53.8,47.8,31.1,40.400000000000006,26.9,25.0,19.6,18.1,38.8,35.7,51.4,44.8,75.6,73.3,35.7,34.0
2008,Nevada,53.0,47.5,36.9,32.1,32.7,32.4,20.0,17.4,36.3,36.0,52.4,44.9,71.5,67.7,28.9,28.6
2008,BYU,53.2,43.2,37.3,30.5,30.6,26.4,20.1,19.7,37.3,29.5,51.6,42.8,65.3,70.5,38.8,29.7
2008,Hawaii,49.0,53.2,34.9,45.9,31.0,37.7,20.200000000000003,23.5,33.2,39.1,48.7,51.1,74.1,69.2,30.1,28.5
2008,Stanford,49.8,44.3,39.6,32.800000000000004,39.1,29.2,18.8,17.7,36.6,33.3,48.0,42.1,69.4,66.4,27.1,28.3
2008,Cal St. Northridge,52.2,47.8,32.6,51.1,31.8,31.5,21.5,24.5,37.3,30.8,50.3,48.8,69.1,67.6,33.6,35.6
2008,Kansas,56.6,44.3,36.4,31.0,37.6,29.1,19.1,22.4,39.7,32.8,55.4,41.2,70.7,68.2,29.3,38.3
2008,Ohio St.,52.5,45.4,28.2,22.1,33.300000000000004,35.6,20.4,21.4,33.7,32.0,53.6,43.6,68.7,68.0,36.5,40.4
2008,Wagner,49.2,47.1,36.2,34.2,36.6,30.4,21.8,19.9,31.3,32.6,50.2,46.0,59.9,70.3,30.8,37.4
2008,Portland St.,54.400000000000006,50.6,37.8,34.9,34.1,31.7,21.5,22.1,39.7,34.8,50.8,49.7,67.2,71.8,41.2,33.8
2008,Cal St. Fullerton,54.2,52.7,32.300000000000004,32.9,32.6,30.2,18.3,23.6,38.4,37.0,52.3,51.2,70.2,67.4,35.8,33.4
2008,UNC Asheville,53.8,49.8,37.8,22.5,30.6,31.2,19.5,16.3,35.9,37.5,53.7,46.0,67.9,69.0,31.9,37.0
2008,Howard,45.9,50.1,36.5,30.9,30.0,36.5,27.4,19.1,28.9,36.1,47.1,48.2,61.6,64.9,32.1,30.8
2008,Northern Iowa,50.0,47.0,43.6,30.3,25.3,28.2,19.8,16.8,33.9,36.4,49.6,42.4,72.8,72.7,34.9,38.0
2008,New Mexico,54.1,47.8,40.2,41.3,31.1,27.4,18.1,24.0,42.0,33.9,49.2,45.7,65.9,68.3,35.6,40.0
2008,Cal Poly,45.8,52.0,33.2,38.6,28.9,31.1,19.9,21.5,28.0,38.8,48.1,48.5,66.2,72.6,38.0,35.9
2008,Middle Tennessee,51.6,51.7,41.4,46.400000000000006,29.9,31.0,22.0,20.5,36.1,34.9,50.5,51.3,71.2,73.2,29.7,38.1
2008,UNC Wilmington,53.7,49.7,32.5,31.9,33.900000000000006,31.9,22.4,18.0,36.2,34.4,53.3,48.7,75.6,68.2,34.8,34.2
2008,West Virginia,51.4,48.0,36.6,39.7,34.4,31.2,16.400000000000002,22.8,36.0,35.8,50.1,45.2,68.7,65.5,33.9,32.4
2008,UCLA,52.2,46.5,37.3,25.6,39.2,27.200000000000003,19.1,21.8,34.4,32.9,52.4,45.4,73.6,68.5,28.0,27.5
2008,Montana,54.400000000000006,51.2,33.6,36.4,28.2,31.0,19.4,18.0,38.8,36.1,51.9,50.0,67.8,71.6,39.6,28.8
2008,Quinnipiac,51.2,50.9,33.4,37.2,35.7,29.3,21.1,17.5,39.2,36.3,48.5,49.1,70.5,69.4,25.7,34.0
2008,Cal St. Bakersfield,46.0,55.60000000000001,31.2,31.8,34.1,34.4,20.200000000000003,20.5,34.4,37.2,43.3,55.5,68.0,69.0,32.2,36.4
2008,Illinois Chicago,50.3,48.2,32.6,26.700000000000003,31.3,30.8,19.9,20.0,38.5,34.6,46.5,46.0,71.9,70.6,33.3,37.1
2008,Murray St.,54.3,49.7,37.2,41.8,32.7,32.6,21.5,20.1,38.4,34.5,53.0,48.5,73.9,70.7,28.7,37.7
2008,IUPUI,56.99999999999999,50.2,36.7,33.800000000000004,33.5,34.599999999999994,18.7,22.2,41.8,34.1,54.1,49.5,78.3,69.3,33.1,41.5
2008,San Jose St.,46.5,51.5,37.5,31.4,37.8,31.0,22.2,18.1,32.2,36.4,46.0,50.0,67.2,65.7,22.4,32.8
2008,Appalachian St.,54.50000000000001,47.8,36.0,31.1,31.2,33.7,22.3,18.6,38.5,35.1,52.5,45.2,68.5,67.3,36.9,34.7
2008,Davidson,54.1,49.3,26.3,37.3,32.4,28.5,17.299999999999997,24.3,36.1,35.5,54.1,47.0,72.6,63.5,40.6,37.8
2008,San Francisco,48.3,54.50000000000001,32.1,41.7,33.0,33.800000000000004,22.6,23.8,32.7,35.8,48.0,54.9,70.4,69.8,27.2,35.7
2008,UTEP,48.8,49.4,45.7,49.0,30.7,30.5,17.9,23.3,33.0,35.4,48.5,47.3,65.7,68.8,33.2,36.0
2008,Pacific,56.10000000000001,50.3,44.0,36.8,32.2,27.800000000000004,22.6,20.1,40.0,35.5,53.8,48.5,67.8,70.9,36.9,37.5
2008,Temple,54.1,49.1,35.3,31.8,28.5,32.4,19.1,19.3,36.9,35.7,53.3,46.5,74.0,72.4,39.4,37.2
2008,Winthrop,49.6,46.6,35.6,33.6,33.2,29.2,19.8,23.3,37.2,31.0,46.7,46.7,59.3,69.6,31.9,42.3
2008,Colgate,49.9,47.0,37.9,35.4,33.5,35.3,24.3,22.2,38.2,33.8,46.8,45.0,69.6,65.9,29.8,35.0
