YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2014,North Dakota St.,54.50000000000001,49.8,41.6,40.2,30.6,27.9,15.6,17.1,34.7,37.8,55.4,46.1,75.8,75.3,27.0,35.0
2014,Southeast Missouri St.,55.1,51.8,39.5,43.0,32.300000000000004,29.0,18.5,15.9,35.6,37.6,55.9,49.2,69.4,74.1,31.1,35.5
2014,UCLA,54.1,49.9,38.2,35.7,29.8,28.6,14.499999999999998,20.3,38.0,34.4,53.0,48.6,74.9,67.6,27.5,41.6
2014,Stanford,51.3,48.0,45.0,37.0,29.3,28.1,17.0,17.0,36.4,34.9,49.9,45.8,70.2,71.6,29.3,33.9
2014,New Mexico St.,53.2,44.4,53.900000000000006,34.1,37.7,33.0,18.7,16.1,36.1,33.2,52.9,42.7,68.4,73.2,26.7,23.1
2014,UC Irvine,51.4,42.3,36.3,39.3,32.0,29.5,19.4,14.9,35.5,33.2,50.7,39.2,62.8,71.3,29.3,29.2
2014,Florida Gulf Coast,51.1,47.7,36.0,35.4,30.0,28.6,19.2,18.6,31.9,34.2,52.5,45.8,68.9,65.8,30.7,34.7
2014,UC Santa Barbara,53.1,47.0,41.9,39.3,31.1,31.5,17.599999999999998,16.0,38.7,35.2,50.5,43.5,71.3,67.5,34.3,37.4
2014,High Point,52.2,53.7,32.4,35.0,30.3,33.300000000000004,18.3,18.0,38.6,35.0,49.7,54.3,74.4,70.7,29.9,36.6
2014,St. John's,48.7,46.5,37.1,38.1,31.1,30.8,15.6,19.2,34.9,34.5,47.6,44.0,69.9,70.8,24.1,32.7
2014,Western Carolina,48.2,50.5,36.8,57.99999999999999,35.4,32.7,17.8,19.8,34.9,33.2,46.1,50.8,71.7,70.7,33.7,30.3
2014,Elon,52.3,49.0,35.8,40.6,26.9,31.8,17.599999999999998,16.8,36.3,33.3,50.9,48.6,71.2,68.1,38.4,28.5
2014,UTEP,50.6,44.5,52.7,37.8,32.2,32.9,20.200000000000003,17.4,32.6,30.5,51.2,43.9,68.5,66.0,26.6,35.5
2014,Alcorn St.,45.2,49.5,41.4,41.4,28.6,34.5,17.8,19.1,30.1,34.8,45.2,48.2,65.9,71.7,28.0,31.1
2014,Weber St.,54.1,47.8,49.7,35.099999999999994,28.4,28.7,19.0,13.8,39.4,33.7,51.1,47.0,74.2,70.7,37.1,22.6
2014,Youngstown St.,52.2,52.2,40.0,41.2,25.0,30.5,16.1,18.6,34.7,35.5,52.3,51.7,73.3,72.8,39.1,32.9
2014,Louisville,53.5,43.9,41.2,38.4,37.1,32.7,15.3,25.0,36.8,28.6,52.7,44.3,66.1,68.1,35.1,30.0
2014,Central Arkansas,49.3,52.0,38.2,49.0,28.000000000000004,37.8,20.3,19.2,36.7,34.5,46.9,52.0,59.9,72.4,29.9,27.6
2014,Saint Joseph's,53.900000000000006,47.8,43.6,30.6,29.5,27.800000000000004,18.7,15.3,37.9,34.2,52.3,46.0,64.5,69.3,36.9,34.4
2014,UNC Greensboro,47.3,50.5,37.8,47.5,28.6,28.5,19.6,17.2,33.6,33.7,46.1,50.5,68.8,70.2,26.7,32.3
2014,USC Upstate,50.5,47.6,38.9,38.6,34.5,30.8,18.3,18.0,31.8,34.2,52.0,45.1,67.2,72.7,34.5,40.5
