Year,Round,SeedDiff,Team1,Team2,Team1Wins
2023,1,30,Alabama,Texas A&M-CC,1
2023,1,16,Maryland,West Virginia,1
2023,1,22,San Diego St.,Charleston,1
2023,1,6,Furman,Virginia,1
2023,1,20,Creighton,NC State,1
2023,1,26,Baylor,UCSB,1
2023,1,18,Missouri,Utah St.,1
2023,1,2,Princeton,Arizona,1
2023,2,22,Alabama,Maryland,1
2023,2,23,San Diego St.,Furman,1
2023,2,12,Creighton,Baylor,1
2023,2,7,Princeton,Missouri,1
2023,3,11,San Diego St.,Alabama,1
2023,3,24,Creighton,Princeton,1
2023,4,16,San Diego St.,Creighton,1
2023,1,0,Fairleigh Dickinson,Purdue,1
2023,1,14,Florida Atlantic,Memphis,1
2023,1,22,Duke,Oral Roberts,1
2023,1,24,Tennessee,Louisiana,1
2023,1,20,Kentucky,Providence,1
2023,1,26,Kansas St.,Montana St.,1
2023,1,18,Michigan St.,USC,1
2023,1,28,Marquette,Vermont,1
2023,2,22,Florida Atlantic,Fairleigh Dickinson,1
2023,2,16,Tennessee,Duke,1
2023,2,18,Kansas St.,Kentucky,1
2023,2,10,Michigan St.,Marquette,1
2023,3,10,Florida Atlantic,Tennessee,1
2023,3,19,Kansas St.,Michigan St.,1
2023,4,9,Florida Atlantic,Kansas St.,1
2023,1,30,Houston,Northern Ky.,1
2023,1,14,Auburn,Iowa,1
2023,1,22,Miami (FL),Drake,1
2023,1,24,Indiana,Kent St.,1
2023,1,10,Pittsburgh,Iowa St.,1
2023,1,26,Xavier,Kennesaw St.,1
2023,1,12,Penn St.,Texas A&M,1
2023,1,28,Texas,Colgate,1
2023,2,23,Houston,Auburn,1
2023,2,14,Miami (FL),Indiana,1
2023,2,23,Xavier,Pittsburgh,1
2023,2,23,Texas,Penn St.,1
2023,3,11,Miami (FL),Houston,1
2023,3,16,Texas,Xavier,1
2023,4,12,Miami (FL),Texas,1
2023,1,30,Kansas,Howard,1
2023,1,16,Arkansas,Illinois,1
2023,1,22,Saint Mary's,VCU,1
2023,1,24,UConn,Iona,1
2023,1,20,TCU,Arizona St.,1
2023,1,26,Gonzaga,Grand Canyon,1
2023,1,18,Northwestern,Boise St.,1
2023,1,28,UCLA,UNC Asheville,1
2023,2,8,Arkansas,Kansas,1
2023,2,16,UConn,Saint Mary's,1
2023,2,18,Gonzaga,TCU,1
2023,2,20,UCLA,Northwestern,1
2023,3,19,UConn,Arkansas,1
2023,3,14,Gonzaga,UCLA,1
2023,4,14,UConn,Gonzaga,1
2023,5,19,San Diego St.,Florida Atlantic,1
2023,5,16,UConn,Miami (FL),1
2023,6,16,UConn,San Diego St.,1
2022,6,22,Kansas,North Carolina,1
2022,5,9,North Carolina,Duke,1
2022,5,16,Kansas,Villanova,1
2022,4,24,Kansas,Miami (FL),1
2022,4,18,Villanova,Houston,1
2022,4,22,North Carolina,St. Peter's,1
2022,4,17,Duke,Arkansas,1
2022,3,12,Arkansas,Gonzaga,1
2022,3,16,Duke,Texas Tech,1
2022,3,11,North Carolina,UCLA,1
2022,3,3,St. Peter's,Purdue,1
2022,3,11,Houston,Arizona,1
2022,3,24,Villanova,Michigan,1
2022,3,18,Kansas,Providence,1
2022,3,16,Miami (FL),Iowa St.,1
2022,2,23,Kansas,Creighton,1
2022,2,23,Providence,Richmond,1
2022,2,7,Iowa St.,Wisconsin,1
