Year,Round,SeedDiff,Team1,Team2,Team1Wins
2024,1,30,UConn,Stetson,0.5
2024,1,16,Florida Atlantic,Northwestern,0.5
2024,1,22,San Diego St.,UAB,0.5
2024,1,24,Auburn,Yale,0.5
2024,1,20,BYU,Duquesne,0.5
2024,1,26,Illinois,Morehead St.,0.5
2024,1,18,Washington St.,Drake,0.5
2024,1,28,Iowa St.,South Dakota St.,0.5
2024,1,30,North Carolina,Wagner,0.5
2024,1,16,Mississippi St.,Michigan St.,0.5
2024,1,22,Saint Mary's,Grand Canyon,0.5
2024,1,24,Alabama,Charleston,0.5
2024,1,20,Clemson,New Mexico,0.5
2024,1,26,Baylor,Colgate,0.5
2024,1,18,Dayton,Nevada,0.5
2024,1,28,Arizona,Long Beach St.,0.5
2024,1,30,Houston,Longwood,0.5
2024,1,16,Nebraska,Texas A&M,0.5
2024,1,22,Wisconsin,James Madison,0.5
2024,1,24,Duke,Vermont,0.5
2024,1,20,Texas Tech,NC State,0.5
2024,1,26,Kentucky,Oakland,0.5
2024,1,18,Florida,Boise St.,0.5
2024,1,28,Marquette,Western Kentucky,0.5
2024,1,30,Purdue,Montana St.,0.5
2024,1,16,Utah St.,TCU,0.5
2024,1,22,Gonzaga,McNeese,0.5
2024,1,24,Kansas,Samford,0.5
2024,1,20,South Carolina,Oregon,0.5
2024,1,26,Creighton,Akron,0.5
2024,1,18,Texas,Colorado St.,0.5
2024,1,28,Tennessee,Saint Peter's,0.5
