Year,Round,SeedDiff,Team1,Team2,Team1Wins
2024,2,22,UConn,Florida Atlantic,0.5
2024,2,14,San Diego St.,Auburn,0.5
2024,2,12,BYU,Illinois,0.5
2024,2,10,Washington St.,Iowa St.,0.5
2024,2,23,North Carolina,Michigan St.,0.5
2024,2,14,Saint Mary's,Alabama,0.5
2024,2,12,Clemson,Baylor,0.5
2024,2,10,Dayton,Arizona,0.5
2024,2,22,Houston,Nebraska,0.5
2024,2,7,James Madison,Duke,0.5
2024,2,12,Texas Tech,Kentucky,0.5
2024,2,10,Florida,Marquette,0.5
2024,2,23,Purdue,TCU,0.5
2024,2,14,Gonzaga,Kansas,0.5
2024,2,12,South Carolina,Creighton,0.5
2024,2,10,Texas,Tennessee,0.5
